x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\7\0.png,7,1.49172030284e-09,2.96536892819e-08,1.74111374207e-08,3.24406173036e-08,4.72463712597e-09,7.28502758118e-10,2.04736889334e-13,0.999999880791,5.35770938725e-09,2.04062970965e-08
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\2\1.png,2,7.41585779451e-07,9.70132191469e-07,0.99999833107,7.26141924368e-10,2.85320048837e-11,5.55749944762e-13,1.32234034833e-09,6.76276090683e-10,2.63667726541e-10,1.64419888295e-12
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\1\2.png,1,1.90499997643e-06,0.999822199345,2.08977544389e-05,6.26571861062e-09,2.88613791781e-05,7.8912285062e-07,1.09282900667e-05,2.47055686486e-05,8.29632117529e-05,6.76949366607e-06
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\0\3.png,0,0.999871015549,7.35120337936e-08,2.2742146939e-06,1.87827886577e-09,1.97556673243e-08,4.32380659277e-07,0.000125029648189,1.36918757221e-07,6.4733356453e-08,8.08425397736e-07
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\4\4.png,4,2.48138787295e-10,4.1230330261e-09,4.25908375234e-09,1.13842268945e-09,0.999956250191,1.1327350169e-09,3.31163629852e-09,1.15913767473e-08,1.01539114894e-08,4.37373309978e-05
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\1\5.png,1,2.15646963397e-07,0.999915599823,2.60226215687e-06,1.25173593712e-10,1.09434431579e-05,3.73805200127e-08,4.96924712934e-07,4.29793435615e-05,2.50929988397e-05,1.94680114873e-06
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\4\6.png,4,1.3025463954e-13,4.40632788923e-07,7.90129739414e-09,1.54449630169e-11,0.999993920326,6.40963115917e-10,4.19147561104e-09,2.87324695591e-07,1.96623227566e-06,3.40466544912e-06
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\9\7.png,9,6.59322318963e-11,4.59028974831e-08,3.47902505382e-06,9.57120209932e-06,1.94820058823e-05,6.27770805295e-06,3.86007163733e-11,2.89280741583e-08,0.000218054279685,0.999743044376
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\5\8.png,5,1.75899028676e-08,1.41390837598e-05,8.26214090921e-06,2.03337349376e-05,3.89197848563e-05,0.14068557322,0.0412158630788,5.93811382714e-05,0.817718148232,0.000239409389906
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\9\9.png,9,2.54543174733e-11,4.86299722713e-10,2.76787437414e-09,2.43521753873e-08,0.000545230461285,1.47449996657e-09,7.64207187115e-12,7.18728115316e-05,9.4703564173e-06,0.999373376369
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\0\10.png,0,0.999999880791,2.96828006618e-10,1.00396761127e-07,9.75310283924e-12,2.44029275953e-12,1.80505999037e-10,2.9587288175e-09,5.33423416549e-10,1.30451774383e-10,5.83867260096e-11
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\6\11.png,6,4.60982079176e-07,1.902757292e-11,9.89917592342e-10,7.34628015971e-13,6.57399468196e-09,1.00248577439e-07,0.999999046326,3.43923349001e-13,3.50181977637e-07,3.68873334655e-12
C:\Users\254994\Desktop\neural_network_console_110\samples\sample_dataset\mnist\validation\9\12.png,9,1.37141437095e-10,6.07806527331e-10,5.29023687079e-08,1.65179494616e-06,3.60804624506e-05,1.13080584896e-08,1.61913503438e-11,2.47448815571e-06,3.00461870211e-05,0.999929666519
